five_tup,flow_pktlen
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56401, 80, 6]","[32, -32, 20, 835, -20, -332, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56402, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:1830:1232:0:95b8:5f0a:3806', 56613, 443, 17]","[1358, -1358, 1358, -1358, 38, 1027, -426, -1358, -1358, 38, -1358, -1358, -1358, -1358, -1358, -1358, -1358, -1358, -1358, 38, 38, 38, 38, 38, -1358, -1358, -1358, -1358, -1358, 38, 38, -1358, -1358, 38, -1358, -1358, 38, -1358, -1358, 38, -1358, -1358, 38, -1358, -1358, -1358, 38, 38, -1358, -1358, 38, -1358, -1358, -1358, -1358, -1358, -1358, -1358, -1358, 38, 38, 38, 38, -630, 55, 43, 57, -55]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56403, 80, 6]","[32, -32, 20, 919, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56404, 80, 6]","[32, -32, 20, 723, -20, -830, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:1830:1232:0:95b8:5f0a:3806', 56614, 443, 17]","[1358, -1358, 1358, -1358, 38, 1017, -38, -394, -1358, -1358, -1358, -1358, -1358, -1358, -1358, -1358, -1358, -1358, -1358, -1358, -1358, 38, 38, 38, 38, 38, 38, 38, -1358, -1358, -1358, 38, -66, 38, 47, 57, -55]"
"['10.208.8.65', '39.177.42.85', 56405, 80, 6]","[32, -32, 20, 421, -20, -2940, -1196, -2940, -1196, 20, -1480, -1480, -1480, 20, -1480, -1480, -912, 20, -1480, -1480, -1196, -2940, -1196, -2940, -1196, -2940, -1196, -2940, -1196, -1480, 20, -1480, -1196, 20, -2940, -1196, -4400, 20, -1480, -1480, -1480, -1480, -1480, 20, -17540, 20, -21920, 20, -11700, 20, -1480, -1480, 20, -21920, 20, -11700, 20, -1480, 20, -1480, -4400, 20, -1480, -1480, -1480, -17540, 20, -1480, -1480, -1480, -4400, 20, -1480, -1480, -1480, -19000, 20, -20460, 20, -1480, 20, -21920, 20, -21920, 20, -17540, 20, -4400, 20, -1480, 20, -21920, 20, -7320, 20, -21920, 20, -13160, 20, -1480, -1480, -1480, -11700, 20, -21920, 20, -21920, 20, -20460, 20, -5860, 20, -21920, 20, -21920, 20, -21920, 20, -1480, -8780, 20, -1480, -1480, -1480, 20, -4400, 20, -1480, -1480, -1480, -19000, 20, -5860, 20, -1480, -1480, -1480, -19000, 20, -14620, 20, -21, 32, -5860, 20, -21920, 20, -21920, 20, -21920, 20, -17540, 20, -2940, 20, -21920, 20, -21920, 20, -4400, 20, -1480, -1480, -1480, -19000, 20, -11700, 20, -17540, 20, -21920, 20, -21920, 20, -1480, 20, -21920, 20, -21920, 20, -1480, -11700, 20, -1480, -1480, -1480, -19000, 20, -11700, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, -19000, 20, -11700, 20, -1480, -1480, -1480, -4400, 20, -1480, 20, -8780, 20, -1480, -1480, -1480, -19000, 20, -16080, 20, -21920, 20, -4400, 20, -19000, 20, -13160, 20, -21920, 20, -16080, 20, -21920, 20, -1480, -1480, -1480, -19000, 20, -2940, 20, -1480, -1480, -1480, -4400, 20, -1480, -1480, -1480, -1480, -1480, -1480, -14620, 20, -11700, 20, -1480, -1480, -1480, -4400, 20, -1480, -1480, -1480, -19000, 20, -23380, 20, -7320, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, -4400, 20, -1480, -1480, -1480, -4400, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, -8780, 20, 20, -1480, -1480, -1480, -13160, 20, -1480, 20, 20, -20460, 20, -20460, 20, -2940, 20, -2940, 20, -21920, 20, -5860, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, -20460, 20, -23380, 20, -17540, 20, -5860, 20, 20, -20460, 20, -20460, 20, -2940, 20, 20, -17540, 20, 20, -20460, 20, -20460, 20, -2940, 20, -17540, 20, -20460, 20, -4400, 20, -21, 32, -11700, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, -20460, 20, -23380, 20, -23380, 20, -5860, 20, -8780, 20, -21920, 20, 20, -20460, 20, 20, -21920, 20, -21920, 20, -16080, 20, -21920, 20, -21920, 20, -21920, 20, -8780, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, -14620, 20, -21, 32, -11700, 20, -21920, 20, -11700, 20, -21920, 20, -21920, 20, -8780, 20, -21920, 20, -21920, 20, -21920, 20, -8780, 20, -1480, -21920, 20, -23380, 20, -7320, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, -19000, 20, -23380, 20, -23380, 20, -5860, 20, -5860, 20, 20, 20, -21, 32, -11700, 20, -21920, 20, -21920, 20, -21920, 20, -4400, 20, -1480, -1480, -20460, 20, -23380, 20, -8780, 20, -17540, 20, -21920, 20, -11700, 20, 20, -1480, -21920, 20, -23380, 20, -23380, 20, -23380, 20, -1480, -1480, -1480, -19000, 20, -23380, 20, -5860, 20, -1480, -1480, -1480, -4400, 20, -1480, -1480, -1480, -19000, 20, -1480, -1480, 20, 20, -21920, 20, -21920, 20, -20460, 20, -21920, 20, -21920, 20, -13160, -1435, 20, 20, -20, 20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56406, 80, 6]","[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56407, 80, 6]","[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56329, 80, 6]","[32, -32, 20, 837, -20, -332, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56330, 80, 6]","[32, -32, 20, 808, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56331, 80, 6]","[32, -32, 20, 790, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '112.53.48.40', 53308, 443, 6]","[151, -20, -158, 20, 167, -20, -158, 20, 167, -20, -61, 393, -20, -174, -656, 20, 167, -20, -174, 20, 167, -20, -174, 20, 1225, -20, -304, 20, 425, -20, -110, 393, -20, -400, 20, -61, 393, -400, 20, -61, 393, -1444, -1444, -1444, -209, 20, 166, -20, -158, 20, -61, 393, -20, -624, 20, -61, 393, -20, -624, 20, -61, 393, -20, -640, 20, -61, 393, -624, 20, -61, 393, -640, 20, -61, 393, 167, -20, -624, 20, -174, 20, -99, 20, -99, 20, -99, 20, -61, 393, -672, 20, -99, 20, -61, 392, -640, 20, 167, -20, -174, 20, -99, 20, -99, 20, 151, -20, -158, 20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56332, 80, 6]","[32, -32, 20, 681, -20, -412, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56333, 80, 6]","[32, -32, 20, 691, -20, -542, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56334, 80, 6]","[32, -32, 20, 808, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56335, 80, 6]","[32, -32, 20, 739, -20, -1151, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56336, 80, 6]","[32, -32, 20, 747, -20, -798, -20, 20, 20, -20]"
"['10.208.8.65', '39.145.24.16', 56337, 443, 6]","[32, -24, 20, 537, -20, -3920, -537, 20, 146, -71, 229, -1320, -2620, -1152, 20, 20, 51, 20, -20, -20, -20, 20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56338, 80, 6]","[32, -32, 20, 800, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::1d', 56339, 80, 6]","[32, -32, 20, 1440, 1440, 1440, 1440, 344, -20, -20, -20, -20, -20, -332, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56340, 80, 6]","[32, -32, 20, 749, -20, -1295, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56349, 80, 6]","[32, -32, 20, 743, -20, -717, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56350, 80, 6]","[32, -32, 20, 1440, 1440, 1440, 483, -20, -20, -20, -20, -1440, -35, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56351, 80, 6]","[32, -32, 20, 763, -20, -9960, 20, -701, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56352, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56353, 80, 6]","[32, -32, 20, 808, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56354, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56355, 80, 6]","[32, -32, 20, 800, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64390, 80, 6]","[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64395, 80, 6]","[32, -32, 20, 745, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '183.60.8.69', 59879, 443, 6]","[151, -20, -174, 20, -61, 393, -20, -864, 20, -61, 393, -20, -640, 20, 151, -20, -174, 20, 265, -20, -174, 20, 183, -20, -174, 20, 425, -20, -110, 393, -1444, -1104, 20, 215, -20, -174, 20, -61, 393, -20, -1444, -1360, 20, -61, 392, -20, -720, 20, -61, 393, -20, -640, 20, -61, 393, -400, 20, -61, 393, -656, 20, 182, -20, -174, 20, -61, 393, -20, -624, 20, 183, -20, -174, 20, -61, 393, -20, -624, 20, 425, -20, -110, 20, 199, -20, -174, 20, -61, 393, -20, -400, 20, -61, 392, -20, -624, 20, -61, 393, -20, -1232, 20, -61, 393, -624, 20, -61, 393, -640, 20, -61, 393, -656, 20, -61, 393, -720, 20, -61, 393, -672, 20, -61, 393, -640, 20, -61, 393, -640, 20, 167, -20, -174, 20, 182, -20, -174, 20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64400, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64401, 80, 6]","[32, -32, 20, 836, -20, -332, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64406, 80, 6]","[32, -32, 20, 773, -20, -2860, -1207, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64411, 80, 6]","[32, -32, 20, 767, -20, -4280, -732, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64412, 80, 6]","[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64413, 80, 6]","[32, -32, 20, 981, -20, -574, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64414, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64419, 80, 6]","[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64420, 80, 6]","[32, -32, 20, 991, -20, -1440, -339, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64421, 80, 6]","[32, -32, 20, 836, -20, -332, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64426, 80, 6]","[32, 32, -32, 20, 806, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64427, 80, 6]","[32, -32, 20, 817, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64438, 80, 6]","[32, -32, 20, 813, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64439, 80, 6]","[32, -32, 20, 750, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64441, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 64442, 80, 6]","[32, -32, 20, 811, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56361, 80, 6]","[32, -32, 20, 831, -20, -332, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56362, 80, 6]","[32, -32, 20, 790, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56363, 80, 6]","[32, -32, 20, 790, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '112.53.48.40', 53308, 443, 6]","[166, -20, -158, 20, -61, 393, -20, -1444, -1280, 20, 166, -20, -158, 20, -61, 393, -20, -688, 20, -61, 393, -20, -672, 20, -61, 393, 183, -656, 20, -20, -158, 20, 425, -20, -110, 393, -20, -400, 20, 167, -20, -158, 20, -61, 393, -20, -640, 20, 183, -20, -174, 20, 167, -20, -174, 20, 183, -20, -158, 20, 150, -20, -158, 20, -61, 393, -20, -1344, 20, 151, -20, -158, 20, 183, -20, -158, 20, -61, 392, -20, -1444, -1232, 20, 167, -20, -158, 20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56364, 80, 6]","[32, -32, 20, 773, -20, -4280, -491, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56365, 80, 6]","[32, -32, 20, 790, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56366, 80, 6]","[32, -32, 20, 808, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2402:4e00:8010::142', 56367, 80, 6]","[32, -32, 20, 832, -20, -332, -20, 20, 20, -20]"
"['10.208.8.65', '175.27.13.160', 56368, 8080, 6]","[32, 32, -32, 20, 947, -1444, 20, -1444, 20, -41, 32, -1444, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56369, 80, 6]","[32, -32, 20, 794, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '39.177.42.97', 56374, 80, 6]","[32, -32, 20, 337, -20, -2940, -1196, 20, -2940, -1196, -1480, 20, -1480, -1196, 20, -4400, 20, -4400, 20, -4400, 20, -2940, -344, -2940, -1196, -2940, -1196, -2940, -1196, 20, -14620, 20, -1480, -11700, 20, -2940, 20, -4400, 20, -2940, 20, -4400, 20, -4400, 20, -591, 20, -20, 20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56375, 80, 6]","[32, -32, 20, 773, -20, -2860, -887, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56376, 80, 6]","[32, -32, 20, 794, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56377, 80, 6]","[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:3af0:10::11f', 56378, 80, 6]","[32, -32, 20, 764, -20, -558, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56479, 80, 6]","[32, -32, 20, 813, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '112.53.48.40', 53308, 443, 6]","[199, -20, -174, 20, 425, -20, -110, 393, -400, 20, -99, 20, -99, 20, -99, 20, 183, -20, -174, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -61, 393, -20, -640, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -61, 393, -20, -640, 20, 167, -20, -174, 20, -99, 20, -99, 20, -61, 393, -20, -624, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -61, 393, -624, 20, 183, -20, -174, 20, -61, 392, -20, -640, 20, 183, -20, -174, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -61, 393, -61, -20, -768, 20, 393, -20, -400, 20, 199, -20, -174, 20, 151, -20, -158, 20, 150, -20, -158, 20, -61, 393, -20, -688, 20, -61, 393, -20, -688, 20, -61, 393, -20, -624, 20, 425, -110, 20, 183, -20, -174, -61, 20, 393, -20, -624, 20, -99, 20, -99, 20, -61, 393, -20, -624, 20, -99, 20, -99, 20, -61, 393, -20, -624, 20, -61, 393, -2868, -897, 20, -61, 393, -672, 20, -61, 393, -688, 20, -61, 393, -672, 20, 167, -20, -174, 20, -61, 392, -20, -624, 20, -61, 393, -20, -640, 20, 183, -20, -174, 20, -61, 393, -20, -640, 20, -61, 393, -624, 20, 183, -20, -174, 20]"
"['10.208.8.65', '120.232.51.242', 56489, 80, 6]","[32, -32, 20, 822, -20, -332, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56490, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56491, 80, 6]","[32, -32, 20, 797, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56492, 80, 6]","[32, -32, 20, 800, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56493, 80, 6]","[32, -32, 20, 798, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56498, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56499, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56500, 80, 6]","[32, -32, 20, 756, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56501, 80, 6]","[32, -32, 20, 753, -20, -11412, -1201, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56503, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56504, 80, 6]","[32, -32, 20, 798, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56505, 80, 6]","[32, -32, 20, 798, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56506, 80, 6]","[32, -32, 20, 780, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56507, 80, 6]","[32, -32, 20, 842, -20, -332, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56508, 80, 6]","[32, -32, 20, 798, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56422, 80, 6]","[32, -32, 20, 751, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56423, 80, 6]","[32, -32, 20, 811, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56424, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56425, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '112.53.48.40', 53308, 443, 6]","[183, -20, -174, 20, 183, -20, -174, 20, -99, 20, -99, 20, -99, 20, -99, 20, -61, 393, -20, -624, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -61, 393, -20, -1376, 20, -61, 393, -20, -624, 20, -61, 393, -20, -640, 20, -61, 393, -624, 20, 425, -110, 20, 281, -20, -174, 20, 167, -20, -174, 20, 183, -20, -174, 20, 199, -20, -174, 20, -61, 393, -20, -720, 20, 183, -20, -174, 20, -61, 393, -20, -1344, 20, 167, -20, -174, 20, 183, -20, -174, 20, -99, 20, -99, 20, -61, 393, -20, -624, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -99, 20, -61, 393, -20, -624, 20, -99, 20, -99, 20, -61, 393, -640, 20, -99, 20, -61, 393, -640, 20, -61, 393, -640, 20, 425, -110, 20, -61, 393, -656, 20, -61, 393, -640, 20, 183, -20, -174, 20, 167, -20, -174, 20, 151, -20, -158, 20, 183, -20, -158, 20, -61, 393, -20, -624, 20, -61, 393, -20, -640, 20, 215, -20, -174, 20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56426, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56431, 80, 6]","[32, -32, 20, 807, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '39.177.42.218', 56432, 80, 6]","[32, -32, 20, 373, -20, -2940, -1196, 20, -2940, -1196, -2940, -1196, -4400, 20, -1480, -1480, -1480, -2940, -525, 20, 20, -20, 20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56433, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56434, 80, 6]","[32, -32, 20, 817, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56435, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56436, 80, 6]","[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56437, 80, 6]","[32, -32, 20, 842, -20, -332, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56443, 80, 6]","[32, -32, 20, 842, -20, -332, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56444, 80, 6]","[32, -32, 20, 797, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56445, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56446, 80, 6]","[32, -32, 20, 800, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56450, 80, 6]","[32, -32, 20, 756, -20, -348, -20, 20, 20, -20]"
"['10.208.8.65', '120.232.51.242', 56457, 80, 6]","[32, -32, 20, 797, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '240e:ff:f100:13::f2', 56042, 80, 6]","[32, -32, 20, 691, -20, -412, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '240e:ff:f100:13::f2', 56043, 80, 6]","[32, -32, 20, 681, -20, -590, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '240e:ff:f100:13::f2', 56044, 80, 6]","[32, -32, 20, 691, -20, -574, -20, 20, 20, -20]"
